Event,White,Black,Result,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,TimeControl,Termination,AN
 Classical ,loco22,Marco753,0-1,1462,2147,-1.0,1.0,A04,480+0,Normal,1. Nf3 Nc6 2. b3 e5 3. Bb2 e4 4. Ne5 d5 5. Nxc6 bxc6 6. d3 Nf6 7. g3 Bg4 8. f3 exf3 9. exf3 Bh5 10. g4 Bg6 11. Bg2 Be7 12. f4 h5 13. c4 Bb4+ 14. Bc3 Bxc3+ 15. Nxc3 Nxg4 16. cxd5 O-O 17. dxc6 Qh4+ 18. Kd2 Nf2 19. Qe1 Qxf4+ 20. Qe3 Qxe3+ 21. Kxe3 Nxh1 22. Bxh1 Rae8+ 23. Ne4 f5 24. Rg1 Kh7 25. h4 fxe4 26. Bxe4 Bxe4 27. dxe4 Re7 28. Rg5 g6 29. a4 Rf1 30. Ke2 Rb1 31. Rb5 Rxe4+ 32. Kd3 Rxh4 33. b4 Rb3+ 34. Kc2 Rg3 35. a5 Rh2+ 36. Kd1 Rg1# 0-1
 Classical ,lione,FRANCOCHESSMAN,0-1,1696,1806,-8.0,8.0,C20,600+0,Time forfeit,1. e4 e5 2. Qf3 Nf6 3. Be2 d6 4. h3 Nc6 5. c3 Be7 6. d3 O-O 7. Qg3 Ne8 8. Bd1 Bh4 9. Qf3 Qf6 10. Na3 Qxf3 11. Nxf3 Be7 12. O-O f5 13. exf5 Bxf5 14. d4 e4 15. Nh2 d5 16. Bh5 Nf6 17. Be2 Bd6 18. Nb5 Bxh2+ 19. Kxh2 Rac8 20. b3 a6 21. Na3 Nd8 22. c4 c6 23. cxd5 cxd5 24. b4 Nc6 25. b5 Nxd4 26. bxa6 Nxe2 27. axb7 Rb8 28. Rb1 e3 29. Bxe3 Bxb1 30. Bf4 Rxb7 31. Bd6 Re8 32. Nxb1 Nd4 33. Nc3 Nb5 34. Nxb5 Rxb5 35. a4 Rb6 36. Bg3 Ne4 37. Bf4 g5 38. Bc7 Ra6 39. Ra1 Nc5 40. a5 Rc8 41. Bb6 Nb3 42. Ra4 Rc4 43. Ra3 Nc5 44. Kg3 Ne4+ 45. Kf3 Rc3+ 46. Rxc3 Nxc3 47. Ke3 Nb5 48. Kd3 Kf7 49. g3 Ke6 50. f4 gxf4 51. g4 Nd6 52. g5 Nb7 53. h4 Nxa5 54. Bxa5 Rxa5 55. h5 Kf5 56. g6 hxg6 57. h6 f3 58. h7 Ra8 59. Ke3 Kg4 60. Kf2 Rh8 61. Kg1 Rxh7 62. Kf2 Rh2+ 63. Kg1 Kh3 64. Kf1 d4 65. Ke1 d3 66. Kf1 d2 0-1
 Classical ,bibikamimika,fralsapu,1-0,1531,1916,22.0,-21.0,D00,480+0,Normal,1. d4 d5 2. e3 Nf6 3. Nc3 e6 4. Nf3 c5 5. Bb5+ Nc6 6. Bxc6+ bxc6 7. O-O Bd6 8. Bd2 O-O 9. Re1 a6 10. e4 cxd4 11. Ne2 dxe4 12. Nfxd4 Qc7 13. h3 e5 14. Nf5 Bxf5 15. Bg5 Nd5 16. c4 Nf4 17. Nxf4 exf4 18. a3 Rad8 19. b4 e3 20. fxe3 fxe3 21. Rxe3 Be5 22. Bxd8 Rxd8 23. Qe1 Bxa1 24. Re8+ Rxe8 25. Qxe8# 1-0
 Classical ,irakli181,irakli112233,0-1,1631,2355,0.0,1.0,A02,600+0,Normal,1. f4 e6 2. g4 Qh4# 0-1
 Classical ,JLB78,Nigeria9tmare,0-1,1588,1953,-3.0,2.0,C60,600+0,Normal,1. e4 e5 2. Nf3 Nc6 3. Bb5 Bd6 4. c3 Nf6 5. Qe2 O-O 6. d4 a6 7. Bxc6 dxc6 8. dxe5 Bxe5 9. Nxe5 Re8 10. Bf4 Bg4 11. Nxg4 Rxe4 12. Ne3 Rxf4 13. O-O Qe7 14. Re1 Re4 15. Qd2 Rd8 16. Qc1 Nd5 17. c4 Nxe3 18. Rxe3 Re8 19. Rxe4 Qxe4 20. Qf1 Qc2 21. b3 Qb2 22. Nd2 Qxd2 23. Rd1 Qxa2 24. Rd7 Qa5 25. Qd1 h6 26. Kf1 b5 27. Rd8 Rxd8 28. Qxd8+ Kh7 29. Qd3+ g6 30. Qf3 Kg7 31. Qxc6 bxc4 32. Qxc4 c5 33. g4 Qa1+ 34. Kg2 Qa3 35. f3 Qb4 36. Qxa6 Qxb3 37. Kg3 c4 38. Qa1+ c3 39. Qc1 Qb2 0-1
 Classical ,Yaqyaqs,Avocat,0-1,1374,1972,-1.0,1.0,A43,300+5,Normal,1. d4 c5 2. e3 Nf6 3. Ne2 e6 4. f4 d5 5. Ng3 cxd4 6. Qxd4 Nc6 7. Qa4 Bd7 8. Bb5 a6 9. Bxc6 bxc6 10. e4 c5 11. Qb3 dxe4 12. Qc3 Be7 13. O-O O-O 14. a3 Bc6 15. b4 Qd4+ 16. Qxd4 cxd4 17. Re1 Rfd8 18. Nd2 e3 19. Nge4 exd2 20. Bxd2 Nxe4 21. c3 Nxd2 22. Rac1 d3 23. c4 Nf3+ 24. gxf3 d2 25. Rcd1 dxe1=Q+ 26. Rxe1 Bxf3 0-1
 Classical ,joel33,vicenticio,0-1,1680,1842,-6.0,7.0,B10,600+0,Normal,1. e4 c6 2. Nf3 d5 3. exd5 cxd5 4. Bb5+ Bd7 5. Bxd7+ Nxd7 6. O-O Ngf6 7. d4 e6 8. Nc3 a6 9. Bg5 Be7 10. Ne5 Nxe5 11. dxe5 Nd7 12. Bxe7 Qxe7 13. Re1 Qg5 14. Qd4 O-O 15. Qe3 Qg6 16. Rac1 Rac8 17. Qg3 Qxg3 18. hxg3 Rc4 19. f4 Rfc8 20. Kf2 b5 21. Ke2 b4 22. Nd1 Rxc2+ 23. Rxc2 Rxc2+ 24. Kd3 Rxg2 0-1
 Classical ,pizzalberto,bloomie4452,0-1,1516,1804,-4.0,5.0,B20,1500+0,Normal,1. e4 c5 2. Bc4 e6 3. Nc3 Nc6 4. d3 Nf6 5. Bg5 Be7 6. Nf3 O-O 7. h3 a6 8. Qd2 b5 9. Bb3 Rb8 10. e5 Ne8 11. Ne4 f6 12. Be3 fxe5 13. Nxc5 Qc7 14. d4 exd4 15. Bxd4 Nxd4 16. Nxe6 Nxe6 17. O-O Nf6 18. Ne5 Qxe5 0-1
 Classical ,igNobalai,Bodler,1-0,1583,1815,50.0,-16.0,B20,720+3,Normal,1. e4 { [%eval 0.18] } 1... c5 { [%eval 0.41] } 2. d3 { [%eval -0.04] } 2... Nc6 { [%eval -0.06] } 3. Nf3 { [%eval 0.0] } 3... e6 { [%eval 0.02] } 4. Nc3 { [%eval 0.01] } 4... a6 { [%eval 0.01] } 5. Bg5 { [%eval -0.25] } 5... Be7 { [%eval -0.16] } 6. Bxe7 { [%eval -0.2] } 6... Ngxe7 { [%eval -0.18] } 7. d4 { [%eval -0.18] } 7... cxd4 { [%eval 0.09] } 8. Nxd4 { [%eval -0.02] } 8... Qc7 { [%eval 0.11] } 9. a3 { [%eval -0.21] } 9... d6 { [%eval 0.0] } 10. Qd2 { [%eval -0.1] } 10... Bd7 { [%eval 0.2] } 11. O-O-O { [%eval 0.18] } 11... O-O?! { [%eval 0.87] } 12. g3?! { [%eval -0.07] } 12... e5? { [%eval 1.14] } 13. Nxc6 { [%eval 1.1] } 13... Qxc6 { [%eval 1.4] } 14. Qxd6 { [%eval 1.3] } 14... Qxd6 { [%eval 1.36] } 15. Rxd6 { [%eval 1.32] } 15... Bg4 { [%eval 1.41] } 16. h3 { [%eval 1.22] } 16... Bf3 { [%eval 1.17] } 17. Rh2 { [%eval 1.14] } 17... Rfd8 { [%eval 1.29] } 18. Rb6 { [%eval 0.96] } 18... Rac8? { [%eval 2.54] } 19. Be2? { [%eval -0.05] } 19... Rxc3 { [%eval -0.09] } 20. bxc3 { [%eval -0.18] } 20... Bxe2 { [%eval -0.16] } 21. Rxb7 { [%eval -0.08] } 21... Nc6 { [%eval 0.32] } 22. f3 { [%eval 0.0] } 22... Bxf3 { [%eval 0.0] } 23. Rb6? { [%eval -1.51] } 23... Na5? { [%eval -0.34] } 24. Rd2 { [%eval -0.35] } 24... Rc8? { [%eval 2.08] } 25. Rxa6? { [%eval -0.11] } 25... Nc4?? { [%eval 4.01] } 26. Rd5?? { [%eval -1.71] } 26... f6? { [%eval 0.0] } 27. Ra4?? { [%eval -3.38] } 27... Bxe4? { [%eval -1.98] } 28. Rb5 { [%eval -1.89] } 28... Bg2 { [%eval -1.6] } 29. Rbb4 { [%eval -1.78] } 29... Ne3 { [%eval -2.05] } 30. h4 { [%eval -2.23] } 30... Rxc3 { [%eval -1.88] } 31. Rb3? { [%eval -3.09] } 31... Nd5? { [%eval -0.91] } 32. Kd2? { [%eval -2.25] } 32... Rxb3? { [%eval -0.43] } 33. cxb3 { [%eval -0.53] } 33... Nb6?! { [%eval 0.0] } 34. Ra6?! { [%eval -0.75] } 34... Nd7?! { [%eval 0.0] } 35. b4 { [%eval -0.14] } 35... Kf7 { [%eval -0.15] } 36. a4 { [%eval -0.22] } 36... Ke7 { [%eval -0.25] } 37. a5 { [%eval -0.32] } 37... Kd8 { [%eval 0.0] } 38. b5 { [%eval 0.01] } 38... Kc7 { [%eval 0.15] } 39. Re6 { [%eval 0.0] } 39... Bd5? { [%eval 1.61] } 40. Re7 { [%eval 1.61] } 40... Bc4?! { [%eval 2.31] } 41. b6+ { [%eval 2.0] } 41... Kd8? { [%eval 3.73] } 42. Rxg7 { [%eval 3.49] } 42... Nxb6?? { [%eval 54.03] } 43. axb6 { [%eval 46.45] } 1-0
 Classical ,binar4ik,douglasfil1,1-0,1684,1891,16.0,-123.0,C23,1800+0,Normal,1. e4 e5 2. Bc4 Be7 3. Bxf7+ Kxf7 4. Qh5+ g6 5. Qxe5 Bf6 6. Qd5+ Kg7 7. e5 Be7 8. Qd4 Nc6 9. Qc3 Bb4 10. Qe3 Nge7 11. a3 Ba5 12. Nf3 Nf5 13. Qb3 Re8 14. O-O d6 15. d3 dxe5 16. Ng5 Qe7 17. Nc3 Be6 18. Nxe6+ Qxe6 19. Nd5 Ncd4 20. Qxb7 Rab8 21. Qxa7 Qxd5 22. c4 Bb6 23. Qxb8 Qxg2+ 24. Kxg2 Rxb8 25. f4 Nc2 26. Rb1 Rd8 27. fxe5 Rxd3 28. Bf4 Nce3+ 29. Bxe3 Nxe3+ 30. Kg1 Nxf1+ 31. Kxf1 Re3 32. Re1 Rxe1+ 33. Kxe1 Kf7 34. b4 Ke6 35. c5 Ba7 36. Ke2 Kxe5 37. h4 Kd5 38. Kd3 c6 39. Ke3 Bb8 40. Kd3 Bg3 41. a4 Bxh4 42. a5 Be1 43. a6 Bxb4 44. a7 Bxc5 45. a8=Q Be7 46. Qg8+ Kd6 47. Qxh7 g5 48. Kc4 c5 49. Qg6+ Kd7 50. Qf5+ Kd6 51. Qd5+ Kc7 52. Kb5 Kc8 53. Kc6 Bf6 54. Qd7+ Kb8 55. Qb7# 1-0
 Classical ,estrella78,mohammad24,0-1,1257,1884,-1.0,1.0,A40,600+0,Normal,1. e3 e5 2. d4 exd4 3. exd4 Qf6 4. Qe2+ Be7 5. Nf3 d5 6. Nc3 Bg4 7. Nxd5 Qd6 8. c4 Bxf3 9. gxf3 Nc6 10. h3 Nxd4 11. Qd3 Qe5+ 12. Be3 Nxf3+ 13. Ke2 Qxb2+ 14. Kxf3 Qxa1 15. Nxc7+ Kf8 16. a4 Rd8 17. Bxa7 Rxd3+ 18. Bxd3 Qxh1+ 19. Ke2 Qxh3 20. Nd5 Qh5+ 21. f3 Qh2+ 22. Ke3 Bg5+ 23. f4 Qg3+ 24. Ke4 Nf6+ 25. Kf5 Qxd3+ 26. Kxg5 Nxd5 27. cxd5 Qxd5+ 28. Kg4 h5+ 29. Kh4 g5+ 30. Kg3 gxf4+ 31. Kxf4 Qc4+ 32. Ke5 Qxa4 33. Bc5+ Kg7 34. Kf5 Qb5 35. Ke5 Qxc5+ 36. Ke4 Re8+ 37. Kd3 Qd5+ 38. Kc3 Rc8+ 39. Kb4 Qc6 40. Kb3 Qb6+ 41. Ka4 Ra8# 0-1
 Classical ,vagid,EgyChess,0-1,1367,2246,0.0,0.0,C44,900+0,Normal,1. e4 e5 2. Nf3 Nc6 3. d3 Nf6 4. c3 Bc5 5. Be2 h6 6. O-O d6 7. b4 Bb6 8. b5 Na5 9. Ba3 O-O 10. Nbd2 Re8 11. c4 a6 12. Bb4 axb5 13. cxb5 c6 14. bxc6 Nxc6 15. Bc3 d5 16. a4 Bd7 17. Ra2 Bc5 18. d4 exd4 19. Bb2 dxe4 20. Ba3 exf3 21. Bxf3 Be6 22. Ra1 Bxa3 23. Rxa3 Nd5 24. Bh5 Nc3 25. Qc2 Bd5 26. Qf5 Re5 27. Bxf7+ Bxf7 28. Qd3 Nb4 29. Qc4 Bxc4 0-1
 Classical ,darija,mhi,1-0,1426,1833,27.0,-20.0,A45,600+5,Time forfeit,1. d4 Nf6 2. f3 d5 3. c3 Bf5 4. Qa4+ c6 5. g4 Bg6 6. g5 Nfd7 7. Bh3 e5 8. dxe5 Nxe5 9. f4 Nc4 10. b3 Nb6 11. Qa5 Bd6 12. c4 O-O 13. cxd5 Nxd5 14. Qd2 Bxf4 15. Qd1 Qxg5 16. Bxf4 Nxf4 17. Nf3 Qa5+ 18. Kf2 Nxh3+ 19. Kg3 Qh5 20. Qd4 Na6 21. Na3 Ng5 22. Nh4 Ne4+ 23. Kh3 1-0
 Classical ,buyuk_turk,mcervants,0-1,1577,1980,-2.0,3.0,B41,1800+0,Normal,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. a3 Qc7 6. Bd3 Bc5 7. Be3 Ne7 8. b4 Ba7 9. c4 O-O 10. c5 Ng6 11. g3 d5 12. Bf4 e5 13. Bxe5 Qxe5 14. Nf3 Qxa1 15. exd5 Bg4 16. O-O Qf6 17. Be4 Re8 18. Re1 Nd7 19. Nbd2 Nde5 20. h3 Nxf3+ 21. Bxf3 Bxf3 22. Qc1 Bxd5 23. Nf1 Be6 24. h4 Bh3 25. Ne3 Qf3 26. Qd2 Rxe3 27. Rxe3 Qg2# 0-1
